,Country,Sub-national region,latitude,longitude,ISO country code,World region,MPI_Country,MPI_Region,DepvrIntensity,location_type,latlngImputed,useforspatial,popDensity,precipitation,TimeToCity,AvgNightLight,LandClassification,Elevation,Temperature,Evaporation,Modis_LAI,Modis_EVI,soil_orgc,soil_phaq,soil_clay,soil_silt,soil_sand,Evaporation_m,Modis_LAI_m
0,Afghanistan,Badakhshan,36.7347725,70.8119953,AFG,South Asia,0.295,0.387,57.3,APPROXIMATE,0,1,24.8333339691162,446.5,182.0,0.0,140.0,2391.0,18.0,3532.0,2.0,732.0,,,,,,3532.0,2.0
1,Afghanistan,Badghis,35.1671339,63.7695384,AFG,South Asia,0.295,0.466,58.8,APPROXIMATE,0,1,7.67166662216187,302.5,237.0,0.0,30.0,1378.0,29.0,1615.0,2.0,1340.0,,,,,,1615.0,2.0
2,Afghanistan,Baghlan,35.8042947,69.2877535,AFG,South Asia,0.295,0.3,50.3,APPROXIMATE,0,1,35.9266662597656,533.0,308.0,0.0,140.0,2336.0,23.0,2158.0,1.0,884.0,,,,,,2158.0,1.0
3,Afghanistan,Balkh,36.7550603,66.8975372,AFG,South Asia,0.295,0.301,54.1,APPROXIMATE,0,1,251.66667175293,201.0,0.0,10.0,11.0,346.0,26.0,1482.0,4.0,2028.0,,,,,,1482.0,4.0
4,Afghanistan,Bamyan,34.8100067,67.8212104,AFG,South Asia,0.295,0.325,53.3,APPROXIMATE,0,1,41.5,145.5,250.0,3.0,20.0,2562.0,22.0,2744.0,4.0,1261.0,,,,,,2744.0,4.0
5,Afghanistan,Daykundi,33.669495,66.0463534,AFG,South Asia,0.295,0.313,48.1,APPROXIMATE,0,1,17.0,202.5,672.0,0.0,20.0,2214.0,23.0,1767.0,3.0,1295.0,,,,,,1767.0,3.0
6,Afghanistan,Farah,32.4464635,62.1454133,AFG,South Asia,0.295,0.319,52.0,APPROXIMATE,0,1,39.5499992370605,70.5,313.0,0.0,200.0,670.0,33.0,527.0,2.0,1279.0,,8.36666666666667,18.3166666666667,41.95,39.7333333333333,527.0,2.0
7,Afghanistan,Faryab,36.0795613,64.905955,AFG,South Asia,0.295,0.25,50.6,APPROXIMATE,0,1,100.809997558594,317.5,169.0,0.0,140.0,711.0,35.0,1202.0,2.0,976.0,,,,,,1202.0,2.0
8,Afghanistan,Ghazni,33.5450587,68.4173972,AFG,South Asia,0.295,0.245,51.6,APPROXIMATE,0,1,4049.83325195313,189.5,126.0,6.0,200.0,2176.0,25.0,1552.0,2.0,1092.0,,,,,,1552.0,2.0
9,Afghanistan,Ghor,34.0995776,64.905955,AFG,South Asia,0.295,0.384,51.5,APPROXIMATE,0,1,7.66666650772095,198.5,528.0,0.0,11.0,2908.0,20.0,1731.0,2.0,837.0,,,,,,1731.0,2.0
